station_name,line_name
井川さくら,JR奥羽本線(新庄～青森)
八郎潟,JR奥羽本線(新庄～青森)
鯉川,JR奥羽本線(新庄～青森)
鹿渡,JR奥羽本線(新庄～青森)
森岳,JR奥羽本線(新庄～青森)
北金岡,JR奥羽本線(新庄～青森)
東能代,JR奥羽本線(新庄～青森)
鶴形,JR奥羽本線(新庄～青森)
富根,JR奥羽本線(新庄～青森)
二ツ井,JR奥羽本線(新庄～青森)
前山,JR奥羽本線(新庄～青森)
鷹ノ巣,JR奥羽本線(新庄～青森)
糠沢,JR奥羽本線(新庄～青森)
早口,JR奥羽本線(新庄～青森)
下川沿,JR奥羽本線(新庄～青森)
大館,JR奥羽本線(新庄～青森)
白沢,JR奥羽本線(新庄～青森)
陣場,JR奥羽本線(新庄～青森)
津軽湯の沢,JR奥羽本線(新庄～青森)
碇ケ関,JR奥羽本線(新庄～青森)
長峰,JR奥羽本線(新庄～青森)
大鰐温泉,JR奥羽本線(新庄～青森)
石川,JR奥羽本線(新庄～青森)
弘前,JR奥羽本線(新庄～青森)
撫牛子,JR奥羽本線(新庄～青森)
川部,JR奥羽本線(新庄～青森)
北常盤,JR奥羽本線(新庄～青森)
浪岡,JR奥羽本線(新庄～青森)
大釈迦,JR奥羽本線(新庄～青森)
鶴ケ坂,JR奥羽本線(新庄～青森)
津軽新城,JR奥羽本線(新庄～青森)
新青森,JR奥羽本線(新庄～青森)
青森,JR奥羽本線(新庄～青森)
野辺地,はまなすベイライン大湊線
北野辺地,はまなすベイライン大湊線
有戸,はまなすベイライン大湊線
吹越,はまなすベイライン大湊線
陸奥横浜,はまなすベイライン大湊線
有畑,はまなすベイライン大湊線
近川,はまなすベイライン大湊線
金谷沢,はまなすベイライン大湊線
赤川,はまなすベイライン大湊線
下北,はまなすベイライン大湊線
大湊,はまなすベイライン大湊線
東能代,JR五能線
能代,JR五能線
向能代,JR五能線
北能代,JR五能線
鳥形,JR五能線
沢目,JR五能線
東八森,JR五能線
八森,JR五能線
滝ノ間,JR五能線
あきた白神,JR五能線
岩館,JR五能線
大間越,JR五能線
白神岳登山口,JR五能線
松神,JR五能線
十二湖,JR五能線
陸奥岩崎,JR五能線
陸奥沢辺,JR五能線
ウェスパ椿山,JR五能線
艫作,JR五能線
横磯,JR五能線
深浦,JR五能線
広戸,JR五能線
追良瀬,JR五能線
驫木,JR五能線
風合瀬,JR五能線
大戸瀬,JR五能線
千畳敷,JR五能線
北金ケ沢,JR五能線
陸奥柳田,JR五能線
陸奥赤石,JR五能線
鰺ケ沢,JR五能線
鳴沢,JR五能線
越水,JR五能線
陸奥森田,JR五能線
中田,JR五能線
木造,JR五能線
五所川原,JR五能線
陸奥鶴田,JR五能線
鶴泊,JR五能線
板柳,JR五能線
林崎,JR五能線
藤崎,JR五能線
川部,JR五能線
青森,JR津軽線
油川,JR津軽線
津軽宮田,JR津軽線
奥内,JR津軽線
左堰,JR津軽線
後潟,JR津軽線
中沢,JR津軽線
蓬田,JR津軽線
郷沢,JR津軽線
瀬辺地,JR津軽線
蟹田,JR津軽線
中小国,JR津軽線
大平,JR津軽線
津軽二股,JR津軽線
大川平,JR津軽線
今別,JR津軽線
津軽浜名,JR津軽線
三厩,JR津軽線
八戸,JR八戸線
長苗代,JR八戸線
本八戸,JR八戸線
小中野,JR八戸線
陸奥湊,JR八戸線
白銀,JR八戸線
鮫,JR八戸線
プレイピア白浜,JR八戸線
陸奥白浜,JR八戸線
種差海岸,JR八戸線
大久喜,JR八戸線
金浜,JR八戸線
大蛇,JR八戸線
階上,JR八戸線
角の浜,JR八戸線
平内,JR八戸線
種市,JR八戸線
玉川,JR八戸線
宿戸,JR八戸線
陸中八木,JR八戸線
有家,JR八戸線
陸中中野,JR八戸線
侍浜,JR八戸線
陸中夏井,JR八戸線
久慈,JR八戸線
茂市,JR岩泉線
岩手刈屋,JR岩泉線
中里,JR岩泉線
岩手和井内,JR岩泉線
押角,JR岩泉線
岩手大川,JR岩泉線
浅内,JR岩泉線
二升石,JR岩泉線
岩泉,JR岩泉線
一ノ関,ドラゴンレール大船渡線
真滝,ドラゴンレール大船渡線
陸中門崎,ドラゴンレール大船渡線
岩ノ下,ドラゴンレール大船渡線
陸中松川,ドラゴンレール大船渡線
猊鼻渓,ドラゴンレール大船渡線
柴宿,ドラゴンレール大船渡線
摺沢,ドラゴンレール大船渡線
千厩,ドラゴンレール大船渡線
小梨,ドラゴンレール大船渡線
矢越,ドラゴンレール大船渡線
折壁,ドラゴンレール大船渡線
新月,ドラゴンレール大船渡線
気仙沼,ドラゴンレール大船渡線
鹿折唐桑,ドラゴンレール大船渡線
上鹿折,ドラゴンレール大船渡線
陸前矢作,ドラゴンレール大船渡線
竹駒,ドラゴンレール大船渡線
陸前高田,ドラゴンレール大船渡線
脇ノ沢,ドラゴンレール大船渡線
小友,ドラゴンレール大船渡線
細浦,ドラゴンレール大船渡線
下船渡,ドラゴンレール大船渡線
大船渡,ドラゴンレール大船渡線
盛,ドラゴンレール大船渡線
花巻,銀河ドリームライン釜石線
似内,銀河ドリームライン釜石線
新花巻,銀河ドリームライン釜石線
小山田,銀河ドリームライン釜石線
土沢,銀河ドリームライン釜石線
晴山,銀河ドリームライン釜石線
岩根橋,銀河ドリームライン釜石線
宮守,銀河ドリームライン釜石線
柏木平,銀河ドリームライン釜石線
鱒沢,銀河ドリームライン釜石線
荒谷前,銀河ドリームライン釜石線
岩手二日町,銀河ドリームライン釜石線
綾織,銀河ドリームライン釜石線
遠野,銀河ドリームライン釜石線
青笹,銀河ドリームライン釜石線
岩手上郷,銀河ドリームライン釜石線
平倉,銀河ドリームライン釜石線
足ケ瀬,銀河ドリームライン釜石線
上有住,銀河ドリームライン釜石線
陸中大橋,銀河ドリームライン釜石線
洞泉,銀河ドリームライン釜石線
松倉,銀河ドリームライン釜石線
小佐野,銀河ドリームライン釜石線
釜石,銀河ドリームライン釜石線
北上,JR北上線
柳原,JR北上線
江釣子,JR北上線
藤根,JR北上線
立川目,JR北上線
横川目,JR北上線
岩沢,JR北上線
和賀仙人,JR北上線
ゆだ錦秋湖,JR北上線
ほっとゆだ,JR北上線
ゆだ高原,JR北上線
黒沢,JR北上線
小松川,JR北上線
平石,JR北上線
相野々,JR北上線
矢美津,JR北上線
横手,JR北上線
盛岡,JR田沢湖線
前潟,JR田沢湖線
大釜,JR田沢湖線
小岩井,JR田沢湖線
雫石,JR田沢湖線
春木場,JR田沢湖線
赤渕,JR田沢湖線
田沢湖,JR田沢湖線
刺巻,JR田沢湖線
神代,JR田沢湖線
生田,JR田沢湖線
角館,JR田沢湖線
鶯野,JR田沢湖線
羽後長野,JR田沢湖線
鑓見内,JR田沢湖線
羽後四ツ屋,JR田沢湖線
北大曲,JR田沢湖線
大曲,JR田沢湖線
好摩,十和田八幡平四季彩ライン
東大更,十和田八幡平四季彩ライン
大更,十和田八幡平四季彩ライン
平館,十和田八幡平四季彩ライン
北森,十和田八幡平四季彩ライン
松尾八幡平,十和田八幡平四季彩ライン
安比高原,十和田八幡平四季彩ライン
赤坂田,十和田八幡平四季彩ライン
小屋の畑,十和田八幡平四季彩ライン
荒屋新町,十和田八幡平四季彩ライン
横間,十和田八幡平四季彩ライン
田山,十和田八幡平四季彩ライン
兄畑,十和田八幡平四季彩ライン
湯瀬温泉,十和田八幡平四季彩ライン
八幡平,十和田八幡平四季彩ライン
陸中大里,十和田八幡平四季彩ライン
鹿角花輪,十和田八幡平四季彩ライン
柴平,十和田八幡平四季彩ライン
十和田南,十和田八幡平四季彩ライン
末広,十和田八幡平四季彩ライン
土深井,十和田八幡平四季彩ライン
沢尻,十和田八幡平四季彩ライン
十二所,十和田八幡平四季彩ライン
大滝温泉,十和田八幡平四季彩ライン
扇田,十和田八幡平四季彩ライン
東大館,十和田八幡平四季彩ライン
大館,十和田八幡平四季彩ライン
盛岡,JR山田線
上盛岡,JR山田線
山岸,JR山田線
上米内,JR山田線
大志田,JR山田線
浅岸,JR山田線
区界,JR山田線
松草,JR山田線
平津戸,JR山田線
川内,JR山田線
箱石,JR山田線
陸中川井,JR山田線
腹帯,JR山田線
茂市,JR山田線
蟇目,JR山田線
花原市,JR山田線
千徳,JR山田線
宮古,JR山田線
磯鶏,JR山田線
津軽石,JR山田線
豊間根,JR山田線
陸中山田,JR山田線
織笠,JR山田線
岩手船越,JR山田線
浪板海岸,JR山田線
吉里吉里,JR山田線
大槌,JR山田線
鵜住居,JR山田線
両石,JR山田線
釜石,JR山田線
新津,JR羽越本線
京ケ瀬,JR羽越本線
水原,JR羽越本線
神山,JR羽越本線
月岡,JR羽越本線
中浦,JR羽越本線
新発田,JR羽越本線
加治,JR羽越本線
金塚,JR羽越本線
中条,JR羽越本線
平木田,JR羽越本線
坂町,JR羽越本線
平林,JR羽越本線
岩船町,JR羽越本線
村上,JR羽越本線
間島,JR羽越本線
越後早川,JR羽越本線
桑川,JR羽越本線
今川,JR羽越本線
越後寒川,JR羽越本線
勝木,JR羽越本線
府屋,JR羽越本線
鼠ケ関,JR羽越本線
小岩川,JR羽越本線
あつみ温泉,JR羽越本線
五十川,JR羽越本線
小波渡,JR羽越本線
三瀬,JR羽越本線
羽前水沢,JR羽越本線
羽前大山,JR羽越本線
鶴岡,JR羽越本線
藤島,JR羽越本線
西袋,JR羽越本線
余目,JR羽越本線
北余目,JR羽越本線
砂越,JR羽越本線
東酒田,JR羽越本線
酒田,JR羽越本線
本楯,JR羽越本線
南鳥海,JR羽越本線
遊佐,JR羽越本線
吹浦,JR羽越本線
女鹿,JR羽越本線
小砂川,JR羽越本線
上浜,JR羽越本線
象潟,JR羽越本線
金浦,JR羽越本線
仁賀保,JR羽越本線
西目,JR羽越本線
羽後本荘,JR羽越本線
羽後岩谷,JR羽越本線
折渡,JR羽越本線
羽後亀田,JR羽越本線
岩城みなと,JR羽越本線
道川,JR羽越本線
下浜,JR羽越本線
桂根,JR羽越本線
新屋,JR羽越本線
羽後牛島,JR羽越本線
秋田,JR羽越本線
追分,JR男鹿線
出戸浜,JR男鹿線
上二田,JR男鹿線
二田,JR男鹿線
天王,JR男鹿線
船越,JR男鹿線
脇本,JR男鹿線
